content_age,source,unique_viewers,total_views
Old,AJA,25915,75732
Old,AJD,21567,37626
Old,Originals,15432,38532
Old,Other,5732,12620
Old,Atheer,3654,17016
Old,LIVE,3367,24772
New,Other,58654,113511
New,Originals,58552,141104
New,AJA,14179,32243
New,AJD,5637,8819
New,Atheer,2186,4872
New,LIVE,27,38
