CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
832002,AJA,حريق مول الكوت بالعراق.. قتلى ومصابون بالعشرات,2,268,100.0
831381,Other,ادعاء باكتشاف علاج للتوحد.. مواجهة علمية,2,2133,100.0
830979,AJA,العرب والتنمية وامتلاك السلاح النووي,1,2538,100.0
830670,AJA,اشتباكات بين اليمين المتطرف ومغاربة في إسبانيا,1,238,100.0
830545,AJA,أساطيل غربية قرب سواحل لبنان.. ما هدفها؟,1,2838,100.0
830544,AJA,حلم التغيير عبر الاستقواء بالخارج,1,2843,100.0
830543,AJA,السيادة اللبنانية والخروقات الإسرائيلية,1,2777,100.0
830536,AJA,الديمقراطية والاستقرار.. هل يجتمعان؟,1,2718,100.0
830531,AJA,عضوية العرب في مجلس حقوق الإنسان,1,2772,100.0
830528,AJA,الإعلام العربي الحر في مواجهة الغرب,2,2600,100.0
830527,AJA,أميركا وعودة اليسار إلى دول أميركا اللاتينية,2,2743,100.0
830525,AJA,الحكام العرب والتشبث بالسلطة,1,2875,100.0
830518,AJA,آفاق حملات أميركا الإعلامية لتحسين صورتها,1,2706,100.0
827239,AJA,تغيير المناهج الدينية,1,2773,100.0
827236,AJA,أميركا ووعود الإصلاح في العالم العربي,2,4213,100.0
827235,AJA,محو إسرائيل من الخريطة.. حلم إيراني؟,1,2804,100.0
827233,AJA,انتفاضة الأرز وتداعياتها,2,4198,100.0
827219,AJA,هل توجد شرعية دولية؟,1,2800,100.0
827214,AJA,المحاكم الدولية والعدالة المنشودة,1,4160,100.0
826693,AJA,العراق في ظل النفوذ الإيراني,1,2860,100.0
826691,AJA,تفجيرات لندن والحرب على الإرهاب,1,2851,100.0
826689,AJA,حرب على السفراء في العراق,1,2868,100.0
826667,AJA,إيران بعد انتخاب أحمدي نجاد,1,2812,100.0
826276,AJA,تجارب ملهمة لمصورين عرب,1,1441,100.0
826274,AJA,دانيال إلسبيرغ... مسرِّب أسرار حرب فيتنام,1,1476,100.0
826272,AJA,التغيرات المناخية خلال صيف 2023,1,1494,100.0
826271,AJA,حزب قائد أم بائد؟,2,4158,100.0
825962,AJA,تقارير التنمية البشرية,1,4162,100.0
825956,AJA,الانتخابات العراقية في ظل الاحتلال,1,4256,100.0
825943,AJA,الحرب على العراق والدور الإيراني,2,4280,100.0
825913,AJA,أزمة دارفور.. الخوف من المجهول,1,1229,100.0
825882,AJA,عبد السلام ضعيف.. سفير اعتُقل في غوانتانامو,1,1404,100.0
824041,AJA,تمييز عنصري ضد البيض في جنوب أفريقيا,1,1555,100.0
823726,AJA,نهضة تيرانا.. رؤية العمدة والجدل حول التمويل,2,1581,100.0
823723,AJA,جدل في أبحاث الخلايا الجذعية,1,1658,100.0
821927,AJA,تحالفات العرب بين أوروبا وأميركا,3,4100,100.0
821926,AJA,دلالات التغيير الوزاري المصري,1,4253,100.0
821915,AJA,مستقبل الإسلام السياسي في العراق,1,4253,100.0
818608,AJA,مستقبل المسلمين في البلقان,1,4427,100.0
818594,AJA,دولة فيجي.. جيش يصارع على السلطة,2,1630,100.0
818593,AJA,كوريا والبطالة المرتفعة,1,1663,100.0
818591,AJA,الفحم وتفجيرات قمم الجبال,1,1646,100.0
818011,AJA,إلياس الهراوي.. عصر ما بعد الطائف,1,3007,100.0
817931,AJA,مستجدات الساحة السياسية الإيطالية,1,1356,100.0
815760,AJA,نظرة العرب إلى الاتحاد الأوروبي,2,4019,100.0
815751,AJA,تقرير التنمية الإنسانية والواقع العربي,2,4189,100.0
815737,AJA,السياحة العربية.. بين الاستحالة والإمكان,2,4061,100.0
815638,AJA,ديفيد كيزويت.. الباحث عن الحقيقة,1,2771,100.0
