source,events_count,completed_events,completion_rate_pct
LIVE,24810,9171,36.9649334945586
AJA,107975,26317,24.3732345450336
Atheer,21888,4422,20.202850877193
Originals,179636,33789,18.8097040682269
AJD,46445,7748,16.6820971041016
Other,624325,19930,3.19224762743763
