source,total_users,repeat_users,repeat_share_pct
LIVE,3387,2437,71.95
Atheer,5302,1886,35.57
Other,93243,27290,29.27
Originals,66693,10918,16.37
AJA,35737,5790,16.2
AJD,26204,2166,8.27
